number,Cwm,k,l,m,n
449,-0.26,13,2,2,2
450,0.26,4,2,3,5
451,0.13,8,1,1,3
452,-0.18,4,1,16,2
453,-0.26,4,3,7,3
454,0.18,1,6,3,3
455,-0.26,3,5,5,5
456,-0.26,6,2,17,2
457,0.26,5,2,13,3
458,-0.26,6,2,15,2
459,-0.18,4,5,1,2
460,0.13,2,1,1,3
461,0.18,3,1,2,5
462,-0.26,5,2,4,2
463,-0.18,1,3,16,2
464,-0.18,2,7,1,5
465,-0.18,2,1,6,8
466,0.26,5,2,15,3
467,0.18,4,6,1,4
468,-0.18,1,4,4,2
469,0.25,6,2,7,4
470,-0.18,1,5,2,3
471,0.18,5,1,14,2
472,-0.18,1,5,2,5
473,-0.13,1,6,1,2
474,0.18,12,1,2,3
475,-0.18,6,4,1,4
476,0.25,4,4,3,3
477,0.18,2,4,1,4
478,-0.25,4,6,2,5
479,-0.12,9,1,2,1
480,-0.18,4,1,14,2
481,-0.18,6,1,6,3
482,0.18,1,6,3,4
483,0.25,5,2,10,2
484,-0.18,1,3,18,2
485,0.18,5,1,16,2
486,0.25,5,2,17,3
487,-0.25,3,6,4,2
488,-0.17,4,1,12,2
489,-0.17,1,3,14,2
490,0.25,4,2,7,3
491,-0.17,4,1,8,3
492,-0.17,14,1,2,2
493,0.12,7,1,1,3
494,0.25,2,2,3,4
495,-0.24,2,2,9,3
496,0.24,4,7,2,3
497,-0.17,4,1,18,2
498,0.24,5,2,9,3
499,-0.17,1,2,8,4
500,0.17,1,3,15,2
501,-0.24,5,6,3,2
502,0.24,5,2,12,2
503,-0.17,1,3,12,2
504,0.17,2,1,2,8
505,-0.08,9,1,1,1
506,-0.17,5,1,7,5
507,0.17,1,6,7,2
508,0.24,5,2,5,2
509,0.17,1,2,2,6
510,-0.24,12,2,2,2
511,0.17,1,6,6,3
512,-0.24,3,3,7,2
513,-0.12,2,1,1,6
514,0.17,5,1,6,2
515,0.17,1,3,2,5
516,0.17,2,5,1,2
517,-0.23,6,2,8,4
518,-0.17,3,6,1,3
519,0.17,6,1,7,4
520,-0.23,4,2,4,2
521,0.16,2,4,1,2
522,-0.16,16,1,2,3
523,0.12,6,1,1,5
524,-0.23,5,2,11,2
525,-0.16,6,1,7,3
526,0.16,13,1,2,3
527,-0.16,4,1,16,3
528,0.16,1,6,6,5
529,0.23,5,2,8,2
530,0.16,6,1,6,5
531,0.23,3,7,7,5
532,0.16,1,3,13,2
533,0.23,2,6,2,5
534,0.16,4,7,1,5
535,-0.16,8,1,4,3
536,-0.23,5,2,13,2
537,-0.16,4,1,14,3
538,0.16,4,1,6,4
539,0.16,1,3,17,2
540,0.16,9,2,1,4
541,0.11,4,1,1,5
542,0.23,3,5,6,2
543,-0.16,1,3,8,2
544,0.16,1,3,18,3
545,0.16,2,1,4,2
