number,Ct,k,l,m,n
519,0.12,9,1,3,1
520,-0.16,10,5,2,1
521,0.16,9,4,7,1
522,0.11,31,1,4,1
523,-0.11,10,1,7,1
524,0.11,22,1,4,1
525,0.16,5,5,6,1
526,-0.16,3,7,5,1
527,0.11,16,2,1,1
528,0.23,5,2,6,3
529,0.11,12,6,1,1
530,0.11,29,1,3,1
531,0.23,5,6,2,2
532,0.11,23,1,4,1
533,-0.16,5,7,8,1
534,0.16,4,5,6,1
535,-0.16,8,7,2,1
536,-0.16,3,2,7,1
537,0.16,7,5,5,1
538,0.11,1,2,1,3
539,0.22,5,3,2,2
540,-0.16,7,1,5,5
541,-0.11,15,1,5,1
542,0.22,4,2,5,2
543,-0.15,12,5,3,1
544,-0.15,4,3,7,1
545,-0.22,4,2,7,5
546,-0.22,4,2,6,3
547,0.15,10,2,3,1
548,0.15,5,7,2,1
549,-0.15,2,3,3,1
550,0.11,13,1,6,1
551,-0.15,10,3,5,1
552,0.15,17,2,4,1
553,-0.15,11,4,3,1
554,-0.21,4,6,6,3
555,0.11,10,1,2,1
556,-0.15,5,1,9,3
557,-0.08,22,1,1,1
558,-0.11,1,3,7,1
559,0.21,6,5,3,2
560,0.11,16,3,1,1
561,-0.15,12,1,2,2
562,0.11,13,1,1,2
563,-0.21,10,2,6,2
564,0.21,3,2,6,5
565,0.11,4,1,1,4
566,-0.15,3,1,5,5
567,0.11,1,1,4,3
568,0.11,6,1,1,3
569,0.15,3,5,3,1
570,-0.15,6,4,6,1
571,-0.15,28,2,2,1
572,-0.21,2,2,10,5
573,0.15,10,2,1,3
574,-0.15,4,4,7,1
575,0.10,1,2,8,1
576,-0.15,8,3,5,1
577,0.10,7,1,7,1
578,0.21,6,2,5,3
579,0.15,22,3,2,1
580,0.21,3,2,5,3
581,-0.10,2,3,1,1
582,0.10,27,1,6,1
583,0.21,2,3,2,2
584,0.15,9,1,2,2
585,0.21,4,6,2,3
586,0.10,17,1,2,1
587,0.10,29,1,6,1
588,0.15,9,1,7,2
589,-0.10,9,6,1,1
590,-0.20,2,7,2,2
591,-0.14,3,6,3,1
592,-0.10,1,5,2,1
593,0.10,27,1,3,1
594,0.10,15,3,1,1
595,0.10,26,1,6,1
596,-0.14,19,1,3,3
597,-0.14,2,1,3,3
598,-0.14,5,1,10,2
599,-0.10,3,1,1,2
600,0.14,4,2,8,1
601,-0.20,3,2,3,2
602,0.10,18,1,4,1
603,0.10,33,1,6,1
604,-0.14,29,2,3,1
605,0.14,18,3,2,1
606,-0.10,8,1,4,1
607,0.10,32,1,6,1
608,-0.20,9,2,6,2
609,0.14,12,4,5,1
610,-0.14,13,3,2,1
611,0.20,16,2,2,2
612,-0.10,1,6,1,2
613,-0.14,6,1,5,6
614,-0.10,4,1,7,1
615,0.10,28,1,6,1
616,-0.14,12,2,5,1
617,0.10,12,1,4,1
618,0.10,30,1,6,1
619,0.14,2,1,8,2
620,-0.14,1,4,6,2
621,-0.20,13,2,2,2
622,0.14,16,2,6,1
623,0.10,31,1,6,1
624,-0.14,3,7,2,1
625,0.14,6,8,2,1
626,0.10,8,1,1,5
627,-0.19,4,2,8,2
628,-0.14,26,2,2,1
629,0.14,16,3,4,1
630,-0.14,13,2,5,1
631,-0.10,11,2,1,1
632,0.10,17,2,1,1
633,-0.14,7,1,5,6
634,0.19,4,4,2,3
635,0.19,4,2,8,3
636,0.10,1,3,1,2
637,-0.19,9,3,2,2
638,-0.10,9,1,6,1
639,-0.14,20,1,3,3
640,0.13,3,1,7,2
641,0.13,4,6,4,1
642,0.10,34,1,6,1
643,-0.19,4,5,3,3
644,-0.13,4,5,1,2
645,0.19,4,2,5,3
646,-0.19,2,2,3,3
647,-0.13,5,1,7,3
648,0.09,3,1,1,4
649,0.13,2,4,7,1
650,0.13,3,2,1,4
651,-0.13,9,5,4,1
652,-0.13,28,2,3,1
653,-0.19,5,2,5,2
654,-0.19,7,3,2,2
655,-0.13,5,4,8,1
656,0.19,17,2,2,2
657,0.13,2,7,5,1
658,0.07,1,3,1,1
659,-0.13,10,4,7,1
660,-0.09,8,1,6,1
661,-0.13,5,1,4,4
662,-0.13,9,6,5,1
663,0.09,13,1,9,1
664,0.09,12,1,6,1
665,0.06,32,1,1,1
666,-0.13,19,3,2,1
667,0.18,3,2,5,2
668,0.13,3,1,9,3
669,0.13,7,2,1,2
670,0.09,3,5,1,1
671,0.09,12,1,2,1
672,-0.13,27,2,3,1
673,-0.13,3,5,6,1
674,-0.13,30,2,2,1
675,0.13,2,5,2,1
676,0.13,4,1,8,5
677,0.13,10,3,4,1
678,-0.18,2,4,2,3
679,-0.13,3,1,4,5
680,-0.09,3,1,9,1
681,0.06,1,1,1,4
682,0.09,33,1,5,1
683,-0.09,14,1,7,1
684,0.13,7,5,3,1
685,0.13,4,2,1,5
686,0.09,10,4,1,1
687,0.13,4,1,10,5
688,0.06,35,1,4,1
689,-0.09,10,6,1,1
690,-0.09,11,1,7,1
691,-0.18,4,5,3,2
692,-0.18,3,2,8,2
693,-0.12,5,1,5,5
694,0.09,1,2,1,4
695,-0.09,1,2,10,1
696,0.17,7,2,3,2
697,-0.12,2,2,1,5
698,-0.09,6,1,9,1
699,0.09,2,10,1,1
700,-0.17,2,2,5,2
