number,Cr,k,l,m,n
453,0.13,1,6,7,1
454,0.19,8,3,6,1
455,0.19,5,7,6,1
456,-0.13,9,1,2,1
457,-0.19,5,5,5,1
458,-0.19,13,3,2,1
459,-0.26,4,4,2,3
460,0.19,1,3,3,3
461,-0.19,1,4,3,5
462,-0.13,2,1,7,1
463,0.19,9,6,2,1
464,0.19,6,6,4,1
465,-0.19,1,2,8,2
466,-0.19,13,3,4,1
467,-0.13,6,3,1,1
468,0.26,3,2,8,2
469,-0.18,16,2,4,1
470,-0.26,6,2,3,3
471,-0.09,31,1,1,1
472,-0.26,4,2,5,2
473,-0.26,2,3,2,2
474,-0.13,10,1,2,1
475,0.13,1,2,1,4
476,-0.26,3,2,9,3
477,0.26,3,4,9,4
478,-0.13,1,1,3,5
479,0.25,3,5,10,5
480,0.18,3,6,5,1
481,0.18,1,2,6,2
482,-0.25,3,4,9,5
483,0.18,6,3,3,1
484,-0.13,1,2,7,1
485,-0.18,1,6,2,3
486,-0.18,1,3,3,2
487,-0.13,18,1,5,1
488,-0.18,3,1,2,4
489,-0.18,5,2,1,4
490,-0.25,3,3,3,3
491,-0.13,14,4,1,1
492,-0.18,3,3,3,1
493,-0.12,4,6,1,1
494,0.18,8,7,2,1
495,-0.18,8,1,3,2
496,0.17,2,5,8,1
497,-0.17,5,1,6,2
498,-0.17,2,2,1,2
499,-0.12,1,5,7,1
500,0.25,4,4,2,2
501,0.12,1,3,1,3
502,0.25,5,2,2,5
503,0.17,12,3,2,1
504,-0.24,2,4,9,5
505,0.24,5,2,2,4
506,-0.17,1,4,5,5
507,0.17,5,2,6,1
508,-0.17,15,2,2,1
509,-0.17,7,3,6,1
510,-0.17,9,1,10,5
511,0.17,3,6,4,1
512,-0.17,8,5,3,1
513,0.17,1,7,3,5
514,0.24,3,3,3,2
515,-0.17,2,1,10,2
516,-0.17,5,5,7,1
517,-0.17,4,4,4,1
518,-0.12,1,7,1,3
519,-0.17,5,1,10,5
520,-0.17,9,7,2,1
521,0.17,4,1,2,4
522,-0.12,1,1,9,2
523,-0.17,6,6,5,1
524,0.08,25,1,1,1
525,0.24,6,6,10,5
526,0.17,1,2,9,3
527,0.12,13,4,1,1
528,0.17,3,1,5,5
529,0.17,10,3,4,1
530,-0.17,5,2,8,1
531,0.12,24,1,3,1
532,-0.17,4,1,9,2
533,0.16,9,3,3,1
534,0.23,4,5,2,5
535,0.16,6,2,5,1
536,0.23,3,3,2,4
537,-0.16,15,2,4,1
538,0.11,14,5,1,1
539,0.11,7,1,6,1
540,0.16,4,1,2,5
541,0.16,4,1,10,2
542,-0.16,3,3,1,3
543,-0.23,3,4,2,3
544,-0.11,17,1,3,1
545,0.16,14,5,3,1
546,0.16,4,2,8,1
547,0.23,5,2,10,2
548,-0.08,33,1,1,1
549,0.16,3,7,1,3
550,-0.16,6,2,8,1
551,0.16,2,1,9,2
552,-0.16,2,5,4,1
553,-0.16,4,1,10,3
554,-0.22,4,3,2,3
555,0.22,2,2,6,5
556,0.16,3,1,3,5
557,-0.16,5,3,6,1
558,-0.16,1,6,9,4
559,-0.16,6,2,1,2
560,0.11,11,3,1,1
561,-0.11,21,1,5,1
562,0.16,6,1,9,3
563,0.16,1,5,4,5
564,-0.16,10,4,5,1
565,-0.16,7,1,6,2
566,0.11,12,2,1,1
567,0.22,6,2,7,2
568,-0.15,9,1,2,2
569,-0.15,2,1,2,4
570,-0.15,1,2,5,2
571,0.11,1,7,1,5
572,0.22,4,4,9,5
573,-0.11,1,1,6,3
574,0.22,5,4,10,5
575,-0.21,3,5,9,4
576,0.08,9,1,1,1
577,0.15,10,3,3,1
578,-0.15,21,2,2,1
579,-0.15,9,2,8,1
580,-0.11,6,1,6,1
581,0.21,3,2,9,2
582,0.15,1,6,3,2
583,-0.21,3,6,3,2
584,-0.21,4,3,10,2
585,0.10,6,6,1,1
586,-0.15,1,2,6,5
587,-0.15,1,4,3,2
588,0.21,4,4,2,4
589,0.07,22,1,1,1
590,0.15,1,7,10,5
591,0.15,5,4,7,1
592,0.21,4,5,4,5
593,-0.21,4,2,6,5
594,0.21,6,2,2,3
595,0.15,5,4,6,1
596,0.15,4,1,2,3
597,0.14,1,4,2,4
598,0.20,3,2,9,4
599,0.14,7,2,6,1
600,0.14,13,2,4,1
601,-0.20,3,2,7,2
602,0.14,3,4,2,1
603,-0.20,3,7,10,4
604,-0.14,5,1,5,2
605,0.20,4,2,3,2
606,-0.20,2,2,6,3
607,0.14,3,1,5,2
608,0.14,8,3,4,1
609,-0.10,26,1,2,1
610,0.07,16,1,1,1
611,0.10,16,1,5,1
612,-0.10,1,2,9,1
613,-0.14,3,5,8,1
614,0.14,3,1,12,3
615,-0.20,2,5,2,5
616,0.14,1,5,2,2
617,-0.20,3,5,3,3
618,0.19,5,5,10,5
619,-0.19,5,4,2,2
620,0.14,2,1,9,3
621,-0.14,10,6,2,1
622,0.14,2,1,7,3
623,-0.19,4,2,4,5
624,0.14,2,5,6,1
625,-0.14,2,6,5,1
626,-0.14,7,7,3,1
627,0.14,5,1,5,5
628,-0.19,6,2,3,2
629,0.19,6,4,2,3
630,0.14,2,4,1,5
631,-0.14,9,4,7,1
632,-0.14,1,6,4,5
633,0.19,4,2,8,2
634,-0.19,3,5,2,2
635,-0.13,31,2,2,1
636,-0.13,1,2,9,2
637,0.13,5,7,2,1
638,0.19,2,4,10,5
639,0.13,1,3,9,2
640,-0.09,27,1,2,1
641,0.09,15,4,1,1
642,-0.13,7,7,2,1
643,-0.19,2,4,2,2
644,-0.19,3,3,9,2
645,-0.13,16,2,2,1
646,-0.09,1,1,7,5
647,-0.19,3,2,8,5
648,-0.13,14,4,3,1
649,0.19,5,2,4,3
650,-0.13,1,6,2,5
651,0.13,2,1,6,3
652,0.13,1,4,6,4
653,0.13,1,6,2,4
654,0.13,9,1,3,3
655,-0.09,1,1,14,3
656,-0.09,28,1,2,1
657,-0.13,1,3,10,2
658,-0.09,7,1,1,2
659,-0.09,8,1,2,1
660,-0.13,1,3,4,4
661,0.09,1,5,1,3
662,0.13,5,1,9,3
663,0.09,1,1,11,3
664,-0.13,4,4,1,5
665,0.09,6,1,9,1
666,-0.09,25,1,2,1
667,-0.18,2,5,4,5
668,-0.13,1,7,2,2
669,-0.13,8,6,2,1
670,-0.09,4,1,8,1
671,-0.13,2,1,4,3
672,-0.13,10,1,10,5
673,0.09,9,1,1,3
674,-0.09,1,1,4,5
675,0.18,4,5,3,3
676,-0.13,4,6,1,2
677,0.18,9,3,2,2
678,0.13,4,7,6,1
679,0.18,4,2,2,4
680,0.18,5,2,4,5
681,0.13,2,3,7,1
682,0.09,8,1,9,1
683,0.09,1,1,11,5
684,0.09,1,1,4,2
685,-0.18,3,2,5,3
686,0.12,1,6,5,4
687,-0.12,1,3,4,3
688,-0.18,4,3,9,5
689,-0.12,2,7,7,1
690,0.06,1,1,9,1
691,-0.12,5,1,9,2
692,0.12,1,3,3,5
693,-0.09,1,4,1,5
694,0.17,2,3,2,3
695,-0.12,5,3,1,2
696,-0.17,2,2,7,3
697,-0.17,6,2,10,3
698,0.12,5,5,2,1
699,-0.12,5,1,7,2
700,0.17,2,3,9,5
