number,Cp,k,l,m,n
339,-0.20,1,3,2,4
340,0.29,3,7,9,5
341,-0.20,6,2,7,1
342,-0.14,12,4,1,1
343,0.29,8,2,2,2
344,0.20,4,2,8,1
345,-0.20,5,1,5,2
346,0.20,1,5,9,4
347,0.29,3,5,10,5
348,-0.20,5,1,7,2
349,0.14,1,1,3,2
350,0.28,6,2,10,4
351,-0.20,2,1,9,5
352,-0.20,6,6,2,1
353,0.14,3,1,1,3
354,0.14,6,1,7,1
355,0.14,15,1,5,1
356,0.14,21,1,3,1
357,-0.28,5,3,2,2
358,-0.14,1,1,12,3
359,0.14,6,1,4,1
360,-0.28,5,2,10,4
361,0.27,9,2,2,2
362,-0.19,10,2,4,1
363,0.19,3,1,5,3
364,-0.14,9,1,1,2
365,0.27,2,2,6,5
366,-0.27,6,2,2,2
367,-0.10,13,1,1,1
368,0.19,1,2,8,5
369,0.19,8,2,3,1
370,0.27,3,6,2,3
371,0.19,5,7,6,1
372,-0.19,3,4,7,1
373,-0.19,2,7,5,1
374,-0.09,3,1,1,1
375,-0.19,2,2,1,3
376,0.19,2,5,8,1
377,-0.19,8,2,4,1
378,0.13,1,7,1,5
379,-0.18,1,2,6,3
380,0.26,3,4,9,4
381,-0.18,1,2,5,5
382,0.26,5,2,2,5
383,-0.18,1,2,5,2
384,-0.13,2,1,7,1
385,0.18,1,3,3,3
386,0.18,1,4,2,2
387,-0.13,18,1,3,1
388,-0.09,21,1,1,1
389,0.13,15,1,3,1
390,-0.13,7,1,7,1
391,-0.18,12,2,2,1
392,0.13,11,4,1,1
393,-0.18,3,7,5,1
394,0.13,6,1,1,2
395,0.13,25,1,3,1
396,0.18,2,1,5,3
397,-0.18,5,1,9,2
398,-0.18,1,3,2,3
399,0.18,5,6,6,1
400,0.25,4,4,2,2
401,0.18,1,5,4,5
402,-0.18,2,1,2,4
403,-0.25,2,4,9,5
404,-0.18,4,1,3,5
405,0.18,2,3,7,1
406,0.25,3,3,3,2
407,0.25,3,2,6,5
408,0.25,5,2,10,2
409,-0.25,5,4,2,2
410,0.18,2,1,9,2
411,0.17,5,3,7,1
412,-0.17,1,4,5,5
413,0.25,3,3,2,4
414,-0.17,5,2,3,1
415,-0.17,2,1,10,2
416,-0.12,1,3,1,2
417,0.17,2,1,7,3
418,-0.12,11,5,1,1
419,0.12,3,3,1,1
420,0.12,6,6,1,1
421,0.17,10,3,4,1
422,-0.24,3,3,3,3
423,0.17,9,4,5,1
424,0.12,1,6,6,1
425,-0.12,1,5,7,1
426,-0.17,5,3,6,1
427,-0.08,25,1,1,1
428,-0.17,9,1,3,2
429,0.17,1,4,2,4
430,0.17,7,2,3,1
431,0.17,2,1,6,2
432,-0.24,4,2,4,5
433,-0.17,4,1,7,3
434,-0.17,6,6,5,1
435,-0.16,5,1,10,5
436,-0.23,6,2,4,5
437,0.16,4,6,6,1
438,0.16,1,7,3,5
439,0.23,5,4,10,5
440,0.16,4,1,4,5
441,-0.16,2,6,5,1
442,0.23,4,4,9,5
443,0.11,31,1,3,1
444,-0.23,3,5,9,4
445,0.16,2,1,7,2
446,-0.23,3,5,3,3
447,-0.16,3,1,7,3
448,-0.16,5,4,4,1
449,0.16,6,4,5,1
450,-0.16,1,6,9,4
451,-0.11,1,1,6,3
452,-0.11,8,1,1,2
453,0.23,3,2,9,2
454,0.11,16,1,5,1
455,-0.16,4,5,7,1
456,0.16,4,2,7,1
457,0.22,5,2,6,2
458,-0.11,4,1,1,5
459,-0.22,4,3,10,2
460,0.16,6,1,3,2
461,-0.16,5,6,2,1
462,-0.11,16,1,3,1
463,0.22,4,5,2,5
464,-0.15,12,4,3,1
465,0.15,3,7,1,3
466,0.22,4,5,4,5
467,0.22,6,6,10,5
468,-0.22,3,3,2,2
469,-0.11,1,4,1,5
470,0.15,4,5,4,1
471,-0.15,9,1,10,5
472,-0.15,5,4,3,1
473,0.15,4,1,10,2
474,-0.11,2,1,1,2
475,-0.15,1,3,10,2
476,0.21,3,2,9,4
477,-0.15,2,1,2,3
478,0.15,2,1,9,3
479,0.11,1,5,1,3
480,-0.11,1,7,1,3
481,-0.15,1,2,6,5
482,0.15,19,2,2,1
483,-0.15,8,1,3,2
484,0.10,1,3,1,3
485,-0.15,4,1,9,2
486,-0.15,1,6,2,3
487,-0.21,6,2,3,3
488,-0.15,1,6,4,5
489,0.10,1,1,11,5
490,-0.15,4,1,10,3
491,-0.15,5,3,5,1
492,-0.15,1,4,3,2
493,0.15,1,7,10,5
494,0.10,12,5,1,1
495,0.15,10,5,3,1
496,0.15,2,4,1,5
497,0.15,5,2,7,1
498,-0.15,1,3,3,2
499,-0.20,3,7,10,4
500,-0.14,3,1,4,4
501,0.10,7,1,6,1
502,0.10,5,1,5,1
503,0.20,5,2,2,4
504,0.14,1,2,9,3
505,0.14,4,1,2,4
506,-0.14,22,2,2,1
507,-0.20,2,2,6,3
508,0.14,4,7,1,5
509,-0.14,4,4,1,5
510,-0.10,1,1,9,2
511,-0.20,3,2,9,3
512,0.20,4,2,3,2
513,-0.14,1,3,4,4
514,0.14,4,3,6,1
515,-0.14,2,2,1,2
516,-0.14,1,7,2,2
517,-0.14,2,1,4,4
518,0.14,9,1,3,3
519,0.14,3,1,12,3
520,0.14,1,6,5,4
521,-0.14,1,3,6,2
522,0.20,3,3,2,3
523,0.19,10,2,2,2
524,-0.19,3,2,8,5
525,0.19,6,4,2,3
526,-0.10,1,1,14,3
527,0.14,4,5,5,1
528,-0.14,7,3,6,1
529,0.14,4,1,4,3
530,0.14,1,6,2,4
531,-0.10,1,4,1,2
532,-0.14,7,2,8,1
533,0.19,3,7,2,2
534,0.14,3,1,5,5
535,0.14,1,4,5,4
536,0.19,4,4,2,4
537,0.19,4,2,6,2
538,0.13,6,2,6,1
539,-0.09,1,1,4,5
540,0.19,2,4,10,5
541,-0.13,1,3,4,3
542,-0.19,4,4,2,3
543,-0.13,1,2,9,2
544,-0.13,11,5,3,1
545,0.09,17,1,3,1
546,-0.13,3,3,1,3
547,0.13,1,3,3,5
548,-0.13,3,6,4,1
549,-0.09,9,1,7,1
550,0.13,3,2,8,1
551,-0.13,5,1,10,2
552,0.13,4,1,6,2
553,-0.13,4,1,7,2
554,-0.13,24,2,2,1
555,0.19,4,2,6,3
556,-0.18,3,3,9,2
557,-0.13,2,7,1,5
558,-0.13,1,7,4,5
559,0.18,3,2,8,2
560,0.18,5,2,4,5
561,0.18,5,5,10,5
562,0.13,9,2,3,1
563,0.13,1,6,9,5
564,-0.18,2,3,2,2
565,-0.18,2,5,4,5
566,-0.13,6,6,3,1
567,-0.13,11,3,2,1
568,-0.18,4,2,9,3
569,-0.13,5,3,1,2
570,-0.13,5,2,1,4
571,-0.13,2,1,4,3
572,0.13,1,2,9,5
573,-0.13,8,6,2,1
574,0.13,4,6,5,1
575,-0.13,1,6,5,5
576,-0.18,2,5,2,5
577,0.18,4,7,3,5
578,0.13,6,6,7,1
579,-0.18,3,2,9,5
580,-0.13,10,1,10,5
581,0.09,29,1,3,1
582,-0.18,3,2,6,2
583,0.13,1,4,11,5
584,-0.18,3,2,7,2
585,0.13,2,5,6,1
586,-0.06,23,1,1,1
587,0.09,17,1,5,1
588,0.12,1,4,6,4
589,0.18,2,4,3,5
590,-0.12,6,1,4,5
591,-0.12,5,5,4,1
592,0.09,33,1,3,1
593,0.12,6,6,4,1
594,-0.12,5,6,7,1
595,0.12,1,3,9,2
596,0.12,3,1,7,2
597,-0.09,1,2,9,1
598,-0.18,2,5,10,4
599,-0.18,3,5,2,5
600,-0.18,2,2,10,4
601,0.12,1,2,3,2
602,-0.17,10,2,10,5
603,-0.12,6,1,3,3
604,0.06,17,1,1,1
605,0.12,1,5,2,2
606,-0.17,4,3,9,5
607,0.17,2,3,9,5
608,-0.17,4,2,6,5
609,-0.17,4,2,9,5
610,0.17,3,4,3,5
611,0.12,3,7,2,1
612,0.12,6,5,7,1
613,-0.12,7,3,2,1
614,0.17,3,2,5,5
615,0.12,2,1,10,3
616,-0.12,6,3,1,2
617,0.12,1,6,5,2
618,0.09,5,2,1,1
619,0.12,13,2,4,1
620,-0.09,1,4,7,1
621,0.17,3,6,9,4
622,0.06,28,1,1,1
623,0.09,3,1,8,1
624,-0.09,5,3,1,1
625,-0.17,4,4,3,5
626,-0.12,5,5,5,1
627,0.17,3,6,5,5
628,-0.08,1,1,18,3
629,-0.12,1,6,2,5
630,-0.12,6,1,6,2
631,0.08,2,5,1,1
632,0.12,7,1,2,2
633,-0.08,1,7,6,1
634,-0.17,4,2,5,2
635,-0.12,1,5,2,4
636,0.12,1,7,10,4
637,-0.12,4,7,2,1
638,-0.17,4,4,9,4
639,0.17,3,3,9,5
640,-0.17,3,2,2,3
641,-0.17,3,4,5,4
642,-0.12,4,6,1,2
643,0.12,4,8,5,1
644,0.12,6,1,9,3
645,0.12,11,4,3,1
646,-0.12,3,5,1,3
647,0.12,6,1,2,3
648,0.12,3,6,5,1
649,0.12,7,2,4,1
